feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance,tree_rank,linear_rank,boruta_score,score_embedded
long_percent_ls_acc_top,1d,target_max_drawdown,0.0008029965101741254,0.35,0.0,0.0,0.0,65.0,106.5,0.35,0.5093364928909953
long_percent_ls_pos_top,1d,target_max_drawdown,0.0004112929163966328,0.0,0.0,0.0,0.0,127.0,106.5,0.0,0.3805687203791469
open_basis_futures_basis,1d,target_max_drawdown,0.00030985873308964074,0.0,0.0,0.0,0.0,151.0,106.5,0.0,0.3578199052132701
close_basis_futures_basis,1d,target_max_drawdown,0.00035676005063578486,0.05,0.0,0.0,0.0,142.0,106.5,0.05,0.3763507109004739
open_change_futures_basis,1d,target_max_drawdown,0.00047934576286934316,0.0,0.0,0.0,0.0,102.0,106.5,0.0,0.40426540284360185
close_change_futures_basis,1d,target_max_drawdown,0.0004292513185646385,0.05,0.0,0.0,0.0,120.0,106.5,0.05,0.39720379146919427
whale_index_value_whale_index,1d,target_max_drawdown,0.0012286814162507653,0.6,0.0,0.0,0.0,33.0,106.5,0.6,0.5896682464454976
taker_sell_volume_usd,1d,target_max_drawdown,0.0002866555005311966,0.0,0.0,0.0,0.0,156.0,106.5,0.0,0.3530805687203792
taker_buy_volume_usd_z,1d,target_max_drawdown,0.0002919996331911534,0.05,0.0,0.0,0.0,154.0,106.5,0.05,0.36497630331753556
taker_imbalance_z,1d,target_max_drawdown,0.00036957833799533546,0.0,0.0,0.0,0.0,138.0,106.5,0.0,0.3701421800947867
taker_buy_sell_imbalance,1d,target_max_drawdown,0.00023040440282784402,0.0,0.0,0.0,0.0,167.0,106.5,0.0,0.342654028436019
premium_premium_index,1d,target_max_drawdown,0.0008687099907547235,0.25,0.0,0.0,0.0,57.0,106.5,0.25,0.49691943127962085
premium_rate_premium_index,1d,target_max_drawdown,0.0008322403882630169,0.25,0.0,0.0,0.0,62.0,106.5,0.25,0.49218009478672986
altcoin_index_index,1d,target_max_drawdown,0.0010370096424594522,0.25,0.0,0.0,0.0,44.0,106.5,0.25,0.5092417061611375
funding_rate,1d,target_max_drawdown,0.00040638403152115643,0.05,0.0,0.0,0.0,128.0,106.5,0.05,0.3896208530805687
volume,1h,target_binarytrend,0.003991224803030491,0.0,0.002931139594655704,0.0,0.0,194.0,53.0,0.0,0.3677725118483412
rsi,1h,target_binarytrend,0.004779186565428972,0.0,0.0,0.0,0.0,74.0,143.0,0.0,0.3962085308056872
macd_hist,1h,target_binarytrend,0.004612041171640158,0.05,0.0,0.0,0.0,106.0,143.0,0.05,0.3758767772511849
kdj_j,1h,target_binarytrend,0.006082708016037941,0.75,0.07959249021529624,0.0,0.0,11.0,2.0,0.75,0.7395734597156398
momentum,1h,target_binarytrend,0.005708701908588409,0.8,0.0,0.0,0.0,15.0,143.0,0.8,0.6121327014218009
vol_change,1h,target_binarytrend,0.0042405868880450726,0.0,0.000645561816038706,0.0,0.0,175.0,71.0,0.0,0.36872037914691946
obv,1h,target_binarytrend,0.004493118729442358,0.0,0.0,0.0,0.0,130.0,143.0,0.0,0.3431279620853081
adx,1h,target_binarytrend,0.0047153751365840435,0.0,0.002495205813422285,0.0,0.0,87.0,54.0,0.0,0.46824644549763034
plus_di,1h,target_binarytrend,0.004815793130546808,0.15,0.0,0.0,0.0,64.0,143.0,0.15,0.4356872037914692
minus_di,1h,target_binarytrend,0.004495567176491022,0.0,0.0,0.0,0.0,129.0,143.0,0.0,0.34407582938388626
trend_flag,1h,target_binarytrend,0.000978367286734283,0.0,0.0,0.0,0.0,205.0,143.0,0.0,0.27203791469194316
boll_bandwidth,1h,target_binarytrend,0.0047499979846179485,0.0,0.0019976242091486705,0.0,0.0,83.0,56.0,0.0,0.4701421800947867
range_flag,1h,target_binarytrend,0.009225922636687756,0.0,0.0,0.0,0.0,4.0,143.0,0.0,0.46255924170616114
high_vol_flag,1h,target_binarytrend,0.0,0.0,0.0015643139861128191,0.0,0.0,209.0,63.0,0.0,0.34407582938388626
donchian_high_20,1h,target_binarytrend,0.003974595572799444,0.05,0.0067981474891765535,0.0,0.0,195.0,37.0,0.05,0.39199052132701423
squeeze_on,1h,target_binarytrend,0.004279394168406725,0.05,0.0,0.0,0.0,169.0,143.0,0.05,0.3161611374407583
ppo,1h,target_binarytrend,0.004124702885746956,0.1,0.0,0.0,0.0,188.0,143.0,0.1,0.3081516587677725
cloud_thickness,1h,target_binarytrend,0.004054451826959848,0.0,0.0,0.0,0.0,192.0,143.0,0.0,0.2843601895734597
heikin_ashi_trend,1h,target_binarytrend,0.004709710367023945,0.1,0.005945469790764177,0.0,0.0,88.0,42.0,0.1,0.49867298578199054
ret_skew_30d,1h,target_binarytrend,0.004698725417256355,0.0,0.0,0.0,0.0,91.0,143.0,0.0,0.38009478672985786
ret_kurt_30d,1h,target_binarytrend,0.0045671057887375355,0.0,0.004229544153440433,0.0,0.0,117.0,49.0,0.0,0.44454976303317534
var_95_30d,1h,target_binarytrend,0.0048721833154559135,0.0,0.0,0.0,0.0,60.0,143.0,0.0,0.40947867298578194
cvar_95_30d,1h,target_binarytrend,0.0045738257467746735,0.0,0.0,0.0,0.0,115.0,143.0,0.0,0.357345971563981
z_score_gap,1h,target_binarytrend,0.0046006012707948685,0.0,0.00046132928403269516,0.0,0.0,112.0,72.0,0.0,0.4274881516587678
doji_ratio_20,1h,target_binarytrend,0.004275043960660696,0.05,0.0,0.0,0.0,170.0,143.0,0.05,0.3152132701421801
hammer_cnt_20,1h,target_binarytrend,0.004429448861628771,0.0,0.0,0.0,0.0,146.0,143.0,0.0,0.32796208530805687
engulfing_up_cnt_20,1h,target_binarytrend,0.004717237316071987,0.0,0.0,0.0,0.0,86.0,143.0,0.0,0.38483412322274885
mfi,1h,target_binarytrend,0.004464971832931042,0.0,0.008729571550107819,0.0,0.0,136.0,30.0,0.0,0.44454976303317534
cmf,1h,target_binarytrend,0.004515151493251324,0.0,0.0,0.0,0.0,125.0,143.0,0.0,0.3478672985781991
price_volume_corr_20,1h,target_binarytrend,0.004483866970986128,0.0,0.017977424824494357,0.0,0.0,131.0,16.0,0.0,0.46255924170616114
price_position_ma200,1h,target_binarytrend,0.005103690549731255,0.0,0.0,0.0,0.0,33.0,143.0,0.0,0.4350710900473934
r_sym,1h,target_binarytrend,0.004807178862392902,0.05,0.0,0.0,0.0,65.0,143.0,0.05,0.41473933649289096
r_btc,1h,target_binarytrend,0.0059869782999157906,0.95,0.006380378946520504,0.0,0.0,13.0,40.0,0.95,0.7416587677725118
beta_btc_60d,1h,target_binarytrend,0.005121496971696615,0.0,0.001696798086663691,0.0,0.0,30.0,61.0,0.0,0.5156398104265403
distance_to_pivot,1h,target_binarytrend,0.004764682613313198,0.0,0.0,0.0,0.0,79.0,143.0,0.0,0.3914691943127962
hour_cos,1h,target_binarytrend,0.00552381481975317,0.45,0.00876477891272461,0.0,0.0,18.0,29.0,0.45,0.6473459715639811
dow_sin,1h,target_binarytrend,0.0042192754335701466,0.15,0.0,0.0,0.0,177.0,143.0,0.15,0.3285781990521327
dow_cos,1h,target_binarytrend,0.005166006274521351,0.1,0.0,0.0,0.0,27.0,143.0,0.1,0.46075829383886263
trend_flag_diff1,1h,target_binarytrend,0.004444180056452751,0.2,0.005896906615142971,0.0,0.0,139.0,43.0,0.2,0.46938388625592414
trend_flag_slope_24h,1h,target_binarytrend,0.00470413314178586,0.0,0.0,0.0,0.0,89.0,143.0,0.0,0.3819905213270142
range_flag_diff1,1h,target_binarytrend,0.0028638693038374186,0.05,0.003247467964010535,0.0,0.0,204.0,51.0,0.05,0.37018957345971565
range_flag_slope_24h,1h,target_binarytrend,0.004476464353501797,0.0,0.008066634728997914,0.0,0.0,135.0,34.0,0.0,0.44170616113744077
ppo_diff1,1h,target_binarytrend,0.004803350195288658,0.05,0.0,0.0,0.0,68.0,143.0,0.05,0.41189573459715645
ppo_slope_24h,1h,target_binarytrend,0.00495292991399765,0.0,0.0,0.0,0.0,45.0,143.0,0.0,0.42369668246445497
stoch_rsi_diff1,1h,target_binarytrend,0.004631892312318087,0.0,0.01037430984885276,0.0,0.0,99.0,26.0,0.0,0.4834123222748815
stoch_rsi_slope_24h,1h,target_binarytrend,0.004359832499176264,0.0,0.0,0.0,0.0,154.0,143.0,0.0,0.32037914691943126
psar_diff1,1h,target_binarytrend,0.004925190936774015,0.0,0.0,0.0,0.0,48.0,143.0,0.0,0.4208530805687204
psar_slope_24h,1h,target_binarytrend,0.004403828177601099,0.0,0.0,0.0,0.0,148.0,143.0,0.0,0.32606635071090045
ret_skew_30d_diff1,1h,target_binarytrend,0.0038377204909920692,0.0,0.0,0.0,0.0,198.0,143.0,0.0,0.2786729857819905
ret_skew_30d_slope_24h,1h,target_binarytrend,0.004173126071691513,0.0,0.0017275866852742654,0.0,0.0,181.0,60.0,0.0,0.3734597156398104
ret_kurt_30d_diff1,1h,target_binarytrend,0.004204894881695509,0.0,0.0,0.0,0.0,179.0,143.0,0.0,0.29668246445497626
ret_kurt_30d_slope_24h,1h,target_binarytrend,0.004499058239161968,0.0,0.0,0.0,0.0,128.0,143.0,0.0,0.34502369668246446
mfi_diff1,1h,target_binarytrend,0.004317637998610735,0.0,0.0,0.0,0.0,161.0,143.0,0.0,0.3137440758293839
mfi_slope_24h,1h,target_binarytrend,0.004613710101693869,0.0,0.027790604808625892,0.0,0.0,105.0,10.0,0.0,0.49289099526066354
price_position_ma200_diff1,1h,target_binarytrend,0.00477223377674818,0.05,0.0032395576240496055,0.0,0.0,76.0,52.0,0.05,0.49056872037914695
price_position_ma200_slope_24h,1h,target_binarytrend,0.004872999154031277,0.1,0.0,0.0,0.0,59.0,143.0,0.1,0.4304265402843602
macd_bullish_cross,1h,target_binarytrend,0.0046083685010671616,0.2,0.001257806736453056,0.0,0.0,108.0,66.0,0.2,0.4769668246445498
rsi_overbought,1h,target_binarytrend,0.0,0.0,0.0,0.0,0.0,209.0,143.0,0.0,0.2682464454976303
rsi_oversold,1h,target_binarytrend,0.0,0.0,0.0,0.0,0.0,209.0,143.0,0.0,0.2682464454976303
price_above_ma20,1h,target_binarytrend,0.010856634005904198,0.75,0.0,0.0,0.0,3.0,143.0,0.75,0.6135071090047394
breakout_recent_high,1h,target_binarytrend,0.0031043151393532753,0.0,0.0010376343483383208,0.0,0.0,202.0,68.0,0.0,0.3459715639810427
trendline_slope_20,1h,target_binarytrend,0.0047940402291715145,0.05,0.0050686426977659335,0.0,0.0,69.0,47.0,0.05,0.5019431279620854
volume_relative_20,1h,target_binarytrend,0.00508511858060956,0.05,0.001218901754308229,0.0,0.0,35.0,67.0,0.05,0.5152132701421801
volume_percentile,1h,target_binarytrend,0.004304025787860155,0.0,0.0,0.0,0.0,163.0,143.0,0.0,0.3118483412322275
distance_to_support,1h,target_binarytrend,0.005039246752858162,0.25,0.0,0.0,0.0,39.0,143.0,0.25,0.4793838862559242
distance_to_resistance,1h,target_binarytrend,0.005123085342347622,0.55,0.0,0.0,0.0,29.0,143.0,0.55,0.5488625592417062
volume_spike_near_support,1h,target_binarytrend,0.0,0.0,0.00858078192202532,0.0,0.0,209.0,32.0,0.0,0.3734597156398104
volume_spike_near_resist,1h,target_binarytrend,0.0,0.0,0.012040596198074268,0.0,0.0,209.0,23.0,0.0,0.3819905213270142
obv_diff1,1h,target_binarytrend,0.004784673452377319,0.0,0.0,0.0,0.0,71.0,143.0,0.0,0.3990521327014218
obv_pct,1h,target_binarytrend,0.004121074452996254,0.0,0.0,0.0,0.0,189.0,143.0,0.0,0.28720379146919434
obv_slope_14,1h,target_binarytrend,0.00510645005851984,0.0,0.0,0.0,0.0,32.0,143.0,0.0,0.4360189573459715
atr_ratio_price,1h,target_binarytrend,0.0043376958929002285,0.0,0.0,0.0,0.0,160.0,143.0,0.0,0.3146919431279621
atr_ratio_range,1h,target_binarytrend,0.004212076310068369,0.05,0.01575819186992715,0.0,0.0,178.0,19.0,0.05,0.42516587677725115
atr_change,1h,target_binarytrend,0.004896367434412241,0.0,0.0,0.0,0.0,53.0,143.0,0.0,0.4161137440758294
atr_slope,1h,target_binarytrend,0.003997400868684053,0.0,0.011891134352657642,0.0,0.0,193.0,24.0,0.0,0.3962085308056872
ma20_zn30,1h,target_binarytrend,0.004700317047536373,0.0,0.0,0.0,0.0,90.0,143.0,0.0,0.381042654028436
boll_upper_zn30,1h,target_binarytrend,0.005321362521499395,0.0,0.0,0.0,0.0,22.0,143.0,0.0,0.4454976303317536
