feature,period,target,tree_importance,boruta_keep,linear_coef,shap_value,tft_vsn_importance,tree_rank,linear_rank,boruta_score,score_embedded
r_sym,1d,target_max_drawdown,0.0014418538194149733,0.3,0.0,0.0,0.0,66.0,124.5,0.3,0.5073684210526317
r_btc,1d,target_max_drawdown,0.0017160347197204828,0.0,0.0,0.0,0.0,57.0,124.5,0.0,0.45465587044534417
beta_btc_60d,1d,target_max_drawdown,0.006408732384443283,0.9,0.0,0.0,0.0,18.0,124.5,0.9,0.6662348178137651
distance_to_pivot,1d,target_max_drawdown,0.0006254100590012968,0.0,0.0,0.0,0.0,105.0,124.5,0.0,0.41578947368421054
hour_cos,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
dow_sin,1d,target_max_drawdown,0.00025772611843422055,0.0,0.0,0.0,0.0,148.0,124.5,0.0,0.38097165991902837
dow_cos,1d,target_max_drawdown,0.0010234244400635362,0.0,0.0,0.0,0.0,83.0,124.5,0.0,0.4336032388663968
trend_flag_diff1,1d,target_max_drawdown,0.007308728992938995,0.1,0.0,0.0,0.0,14.0,124.5,0.1,0.5094736842105263
trend_flag_slope_24h,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
range_flag_diff1,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
range_flag_slope_24h,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
ppo_diff1,1d,target_max_drawdown,0.0012410406488925219,0.1,0.0,0.0,0.0,70.0,124.5,0.1,0.46412955465587047
ppo_slope_24h,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
stoch_rsi_diff1,1d,target_max_drawdown,0.00013345429033506662,0.0,0.0,0.0,0.0,178.0,124.5,0.0,0.35668016194331986
stoch_rsi_slope_24h,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
psar_diff1,1d,target_max_drawdown,0.0005090215126983821,0.0,0.0,0.0,0.0,115.0,124.5,0.0,0.4076923076923077
psar_slope_24h,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
ret_skew_30d_diff1,1d,target_max_drawdown,0.00022924478980712593,0.05,0.0,0.0,0.0,156.0,124.5,0.05,0.38449392712550606
ret_skew_30d_slope_24h,1d,target_max_drawdown,0.0,0.0,0.0,0.0,0.0,232.0,124.5,0.0,0.3129554655870445
ret_kurt_30d_diff1,1d,target_max_drawdown,0.00038525855052284896,0.0,0.0,0.0,0.0,124.0,124.5,0.0,0.4004048582995951
